Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Asia Pacific,Philippines,331,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,39.3221148,37.62131253,38.4281703,38.98977674,39.42463111,39.92223804,40.54771463,41.28895182,42.06119758,42.75512234,43.85166643,45.7709119,47.8772445,48.8048336,49.73059044,50.72436283,51.65521343,52.88588201,54.39212606,56.09925228
Asia Pacific,Philippines,331,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,58.168031,56.10250392,57.56784115,58.55272201,59.23780413,60.00712119,60.95371082,62.08238856,63.24607028,64.28291115,65.91007745,68.70230877,71.77518701,73.17229844,74.56896204,76.06584898,77.48364236,79.33626649,81.59028392,84.13951447
Asia Pacific,Philippines,331,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,42.3081621,40.92036253,42.0608263,42.80915674,43.31929111,43.88638069,44.57531397,45.3922839,46.22956555,46.9696427,48.13223667,50.1059242,52.27127295,53.26686629,54.26580914,55.34230324,56.36587278,57.69978691,59.32040558,61.15371719
Asia Pacific,Philippines,331,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",223.399705,219.6990537,220.9805776,223.5084519,219.5188315,212.4367312,215.6521378,224.6719062,221.1533126,219.8453897,221.4104339,220.4175288,225.5786738,228.7761761,228.6605325,234.3505508,239.8978241,246.9163893,255.2833313,264.6535202
Asia Pacific,Singapore,352,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,5.7976,6.2004,6.7271,7.2843,7.7902,8.2527,8.5612,8.7325,8.8749,9.0472,9.2987,9.5461,9.7775,9.982799,10.17901675,10.33808727,10.47606312,10.63558525,10.82732719,11.05455722
Asia Pacific,Singapore,352,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,4.15619,4.43606,4.800665,5.188645,5.54073,5.862455,6.07843,6.196325,6.293985,6.41258,6.586605,6.757765,6.917725,7.06027915,7.196348796,7.306549584,7.402145294,7.513311215,7.647191738,7.805840031
Asia Pacific,Singapore,352,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,16.40974,17.53161,18.88259,19.89541488,20.85227599,21.80660643,22.55811768,22.99740919,23.47884754,23.86469385,24.47832049,25.04310108,25.57655959,26.12125824,26.63453146,27.08733688,27.49429207,27.89672203,28.30411521,28.71869666
Asia Pacific,Singapore,352,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,14.723936,15.72039,16.906321,17.74833119,18.55034873,19.3631173,20.02157112,20.40665098,20.8428035,21.17466916,21.71026676,22.19830372,22.65987053,23.1413121,23.59403523,23.99762394,24.36190813,24.71574801,25.06510368,25.41098563
Asia Pacific,Singapore,352,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",68.24305705,73.55602936,80.69826789,86.67684302,91.48858262,96.65276468,100.6989017,103.3384524,101.420242,104.086104,105.6310241,104.4588349,104.5658455,108.0279136,110.4079,112.637186,114.7468432,117.1397656,119.9438409,123.1933565
Asia Pacific,South Korea,280,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,164.4716958,174.4762928,185.4793548,187.0692559,209.003821,213.0619704,216.3232425,222.5632397,218.604565,220.2146863,230.0125823,226.4778909,223.6610983,218.6964995,222.8150144,225.9467214,228.7128974,231.4168234,233.8883506,236.2043628
